,Unnamed: 0,Problem Name,Unnamed: 2,Online Judge,Contest,Difficulty Level
0,1,Tetrahedron,Categories,Codeforces,Codeforces Round #113 (Div. 2),1
1,2,Sereja and Brackets,Categories,Codeforces,Codeforces Round #223 (Div. 1) & Codeforces Round #223 (Div. 2),3
2,3,New Reform,Categories,Codeforces,Codeforces Round #346 (Div. 2),3
3,4,Paths and Trees,Categories,Codeforces,Codeforces Round #303 (Div. 2),4
4,5,Connecting Universities,Categories,Codeforces,Codeforces Round #364 (Div. 1) & Codeforces Round #364 (Div. 2),4
5,6,Pashmak and Graph,Categories,Codeforces,Codeforces Round #261 (Div. 2),4
6,7,Correct Bracket Sequence Editor,Categories,Codeforces,Codeforces Round #350 (Div. 2),4
7,8,XOR and Favorite Number,Categories,Codeforces,Codeforces Round #340 (Div. 2),4
8,9,Ciel the Commander,Categories,Codeforces,Codeforces Round #190 (Div. 1) & Codeforces Round #190 (Div. 2),4
9,10,Civilization,Categories,Codeforces,Codeforces Round #260 (Div. 1) & Codeforces Round #260 (Div. 2),4
10,11,Riding in a Lift,Categories,Codeforces,Codeforces Round #274 (Div. 2) & Codeforces Round #274 (Div. 1),4
11,12,Enemy is weak,Categories,Codeforces,Codeforces Beta Round #57 (Div. 2),4
12,13,Xenia and Tree,Categories,Codeforces,Codeforces Round #199 (Div. 2),4
13,14,Weakness and Poorness,Categories,Codeforces,Codeforces Round #320 (Div. 1) [Bayan Thanks-Round] & Codeforces Round #320 (Div. 2) [Bayan Thanks-Round],4
14,15,Propagating tree,Categories,Codeforces,Codeforces Round #225 (Div. 1) & Codeforces Round #225 (Div. 2),4
15,16,Fools and Roads,Categories,Codeforces,Codeforces Round #121 (Div. 1) & Codeforces Round #121 (Div. 2),4
16,17,Gerald and Giant Chess,Categories,Codeforces,Codeforces Round #313 (Div. 1) & Codeforces Round #313 (Div. 2),4
17,18,Squares and not squares,Categories,Codeforces,Codeforces Round #451 (Div. 2),4
18,19,XOR on Segment,Categories,Codeforces,Codeforces Round #149 (Div. 2),4
19,20,The Values You Can Make,Categories,Codeforces,Codeforces Round #360 (Div. 1) & Codeforces Round #360 (Div. 2),4
20,21,Fire,Categories,Codeforces,Codeforces Round #436 (Div. 2),4
21,22,A and B and Lecture Rooms,Categories,Codeforces,Codeforces Round #294 (Div. 2),4
22,23,A Simple Task,Categories,Codeforces,Codeforces Round #312 (Div. 2),5
23,24,Logo Turtle,Categories,Codeforces,Codeforces Beta Round #96 (Div. 1) & Codeforces Beta Round #96 (Div. 2),5
24,25,Pillars,Categories,Codeforces,Codeforces Round #271 (Div. 2),5
25,26,Exposition,Categories,Codeforces,Codeforces Beta Round #6 (Div. 2 Only),5
26,27,Polo the Penguin and XOR operation,Categories,Codeforces,Codeforces Round #177 (Div. 1) & Codeforces Round #177 (Div. 2),5
27,28,Fox and Card Game,Categories,Codeforces,Codeforces Round #228 (Div. 1) & Codeforces Round #228 (Div. 2),5
28,29,Wet Shark and Blocks,Categories,Codeforces,Codeforces Round #341 (Div. 2),5
29,30,Subsegments,Categories,Codeforces,Codeforces Beta Round #63 (Div. 2),5
30,31,Bitwise Formula,Categories,Codeforces,Codeforces Round #402 (Div. 1) & Codeforces Round #402 (Div. 2),5
31,32,Duff in the Army,Categories,Codeforces,Codeforces Round #326 (Div. 1) & Codeforces Round #326 (Div. 2),5
32,33,Choosing Balls,Categories,Codeforces,Codeforces Round #162 (Div. 1) & Codeforces Round #162 (Div. 2),5
33,34,Read Time,Categories,Codeforces,Codeforces Round #200 (Div. 1) & Codeforces Round #200 (Div. 2),5
34,35,Porcelain,Categories,Codeforces,Codeforces Round #105 (Div. 2),5
35,36,Sasha and Array,Categories,Codeforces,Codeforces Round #373 (Div. 1) & Codeforces Round #373 (Div. 2),5
36,37,Cards Sorting,Categories,Codeforces,"Codeforces Round #424 (Div. 1, rated, based on VK Cup Finals) & Codeforces Round #424 (Div. 2, rated, based on VK Cup Finals)",5
37,38,Breaking Good,Categories,Codeforces,Codeforces Round #287 (Div. 2),5
38,39,Hanoi Factory,Categories,Codeforces,Codeforces Round #401 (Div. 2),5
39,40,Kalila and Dimna in the Logging Industry,Categories,Codeforces,Codeforces Round #189 (Div. 1) & Codeforces Round #189 (Div. 2),5
40,41,Mashmokh and Reverse Operation,Categories,Codeforces,Codeforces Round #240 (Div. 1) & Codeforces Round #240 (Div. 2),5
41,42,Case of Chocolate,Categories,Codeforces,Codeforces Round #310 (Div. 1) & Codeforces Round #310 (Div. 2),5
42,43,Games with Rectangle,Categories,Codeforces,Codeforces Beta Round #94 (Div. 1 Only) & Codeforces Beta Round #94 (Div. 2 Only),5
43,44,Iahub and Permutations,Categories,Codeforces,Codeforces Round #198 (Div. 2) & Codeforces Round #198 (Div. 1),5
44,45,Little Artem and Time Machine,Categories,Codeforces,VK Cup 2016 - Round 2,5
45,46,Maximize!,Categories,Codeforces,Codeforces Round #464 (Div. 2),5
46,47,Points on Plane,Categories,Codeforces,Codeforces Round #319 (Div. 1) & Codeforces Round #319 (Div. 2),5
47,48,Compatible Numbers,Categories,Codeforces,Codeforces Round #112 (Div. 2),5
48,49,Subordinates,Categories,Codeforces,Technocup 2017 - Elimination Round 2,5
49,50,Game of Stones,Categories,Codeforces,"Divide by Zero 2017 and Codeforces Round #399 (Div. 1 + Div. 2, combined)",5
50,51,Sausage Maximization,Categories,Codeforces,Codeforces Round #173 (Div. 2),5
51,52,Soldier and Traveling,Categories,Codeforces,Codeforces Round #304 (Div. 2),5
52,53,Comments,Categories,Codeforces,Codeforces Round #387 (Div. 2),5
53,54,Pretty Song,Categories,Codeforces,"Codeforces Round #289 (Div. 2, ACM ICPC Rules)",5
54,55,Number With The Given Amount Of Divisors,Categories,Codeforces,"Codeforces Beta Round #27 (Codeforces format, Div. 2)",5
55,56,Underground Lab,Categories,Codeforces,?????????? 2017 - ????? (?????? ??? ??????-??????????),5
56,57,Vasya and Beautiful Arrays,Categories,Codeforces,Codeforces Round #206 (Div. 1) & Codeforces Round #206 (Div. 2),5
57,58,Three States,Categories,Codeforces,Codeforces Round #327 (Div. 1) & Codeforces Round #327 (Div. 2),5
58,59,Anton and Tree,Categories,Codeforces,Codeforces Round #379 (Div. 2),5
59,60,Blood Cousins,Categories,Codeforces,Codeforces Round #130 (Div. 2),5
60,61,Array and Operations,Categories,Codeforces,Codeforces Round #284 (Div. 1) & Codeforces Round #284 (Div. 2),5
61,62,Number Transformation II,Categories,Codeforces,Codeforces Round #201 (Div. 1) & Codeforces Round #201 (Div. 2),6
62,63,The Great Mixing,Categories,Codeforces,Codeforces Round #407 (Div. 1) & Codeforces Round #407 (Div. 2),6
63,64,Martian Strings,Categories,Codeforces,Codeforces Round #106 (Div. 2),6
64,65,DNA Evolution,Categories,Codeforces,"Codeforces Round #423 (Div. 1, rated, based on VK Cup Finals) & Codeforces Round #423 (Div. 2, rated, based on VK Cup Finals)",6
65,66,Watching Fireworks is Fun,Categories,Codeforces,Codeforces Round #219 (Div. 1) & Codeforces Round #219 (Div. 2),6
66,67,Restoring Increasing Sequence,Categories,Codeforces,Codeforces Round #279 (Div. 2),6
