,Unnamed: 0,Problem Name,Unnamed: 2,Online Judge,Year,Contest,Difficulty Level
0,1,Coffee Central,Categories,Live Archive,2011.0,World Finals - Orlando,1
1,2,Tetrahedron,Categories,Codeforces,,Codeforces Round #113 (Div. 2),1
2,3,Xenia and Bit Operations,Categories,Codeforces,,Codeforces Round #197 (Div. 2),1
3,4,Queue,Categories,Codeforces,,Codeforces Round #303 (Div. 2),1
4,5,Flowers,Categories,Codeforces,,Codeforces Round #271 (Div. 2),1
5,6,Longest Common Subsequence,Categories,UVA,,,1
6,7,Mashmokh and ACM,Categories,Codeforces,,Codeforces Round #240 (Div. 1) & Codeforces Round #240 (Div. 2),1
7,8,Dima and Lisa,Categories,Codeforces,,Codeforces Round #324 (Div. 2),2
8,9,Vasya and Chess,Categories,Codeforces,,Codeforces Round #281 (Div. 2),2
9,10,"Prizes, Prizes, more Prizes",Categories,Codeforces,,Codeforces Round #130 (Div. 2),2
10,11,Soldier and Number Game,Categories,Codeforces,,Codeforces Round #304 (Div. 2),2
11,12,Equivalent Strings,Categories,Codeforces,,Codeforces Round #313 (Div. 1) & Codeforces Round #313 (Div. 2),2
12,13,Magic Powder - 2,Categories,Codeforces,,Codeforces Round #350 (Div. 2),2
13,14,String Game,Categories,Codeforces,,Codeforces Round #402 (Div. 1) & Codeforces Round #402 (Div. 2),2
14,15,Alternating Current,Categories,Codeforces,,Codeforces Round #200 (Div. 1) & Codeforces Round #200 (Div. 2),2
15,16,Caesar's Legions,Categories,Codeforces,,Codeforces Beta Round #89 (Div. 2),2
16,17,Magic Powder - 1,Categories,Codeforces,,Codeforces Round #350 (Div. 2),2
17,18,Multiplication Table,Categories,Codeforces,,Codeforces Round #256 (Div. 2),2
18,19,Password,Categories,Codeforces,,Codeforces Beta Round #93 (Div. 1 Only) & Codeforces Beta Round #93 (Div. 2 Only),2
19,20,Minimum number of steps,Categories,Codeforces,,Codeforces Round #411 (Div. 1) & Codeforces Round #411 (Div. 2),2
20,21,Taxes,Categories,Codeforces,,Codeforces Round #382 (Div. 2) & Codeforces Round #382 (Div. 1),2
21,22,Mike and Feet,Categories,Codeforces,,Codeforces Round #305 (Div. 1) & Codeforces Round #305 (Div. 2),3
22,23,Biridian Forest,Categories,Codeforces,,Codeforces Round #192 (Div. 1) & Codeforces Round #192 (Div. 2),3
23,24,Long Path,Categories,Codeforces,,Codeforces Round #239 (Div. 1) & Codeforces Round #239 (Div. 2),3
24,25,Choosing Capital for Treeland,Categories,Codeforces,,Codeforces Round #135 (Div. 2),3
25,26,Love Rescue,Categories,Codeforces,,Codeforces Round #464 (Div. 2),3
26,27,Andrey and Problem,Categories,Codeforces,,Codeforces Round #253 (Div. 1) & Codeforces Round #253 (Div. 2),3
27,28,Lakes in Berland,Categories,Codeforces,,Codeforces Round #375 (Div. 2),3
28,29,Mysterious Present,Categories,Codeforces,,Codeforces Beta Round #4 (Div. 2 Only),3
29,30,Bear and Blocks,Categories,Codeforces,,Codeforces Round #318 [RussianCodeCup Thanks-Round] (Div. 1) & Codeforces Round #318 [RussianCodeCup Thanks-Round] (Div. 2),3
30,31,Good Sequences,Categories,Codeforces,,Codeforces Round #162 (Div. 1) & Codeforces Round #162 (Div. 2),3
31,32,Anton and Chess,Categories,Codeforces,,Codeforces Round #379 (Div. 2),3
